

 X,Y,Z 
-0.17238,0.5363,9.59596
-0.19154,0.49799,9.59596
-0.19154,0.49799,9.57681
-0.19154,0.51715,9.59596
-0.17238,0.5363,9.59596
-0.17238,0.47884,9.57681
-0.21069,0.51715,9.59596
-0.19154,0.55545,9.59596
-0.17238,0.5363,9.59596
-0.19154,0.51715,9.59596
-0.19154,0.49799,9.59596
-0.19154,0.5363,9.59596
-0.19154,0.51715,9.59596
-0.17238,0.49799,9.59596
-0.17238,0.5363,9.59596
-0.17238,0.51715,9.59596
-0.17238,0.51715,9.59596
-0.19154,0.49799,9.59596
-0.19154,0.5363,9.57681
-0.17238,0.51715,9.57681
-0.19154,0.51715,9.57681
MEDIA X, MEDIA Y, MEDIA Z 
-0.18424,0.51806,9.5914, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.01129,0.01865,0.00836
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01268,0.01952,0.01016
ANG ENCODER,ANG APP,INC FINAL ANG

000.0000
000.0000,3.281,0.00687



 X,Y,Z 
1.5706,0.55545,9.40442
1.58975,0.5363,9.40442
1.58975,0.51715,9.42358
1.5706,0.51715,9.40442
1.5706,0.5363,9.40442
1.58975,0.5363,9.40442
1.5706,0.57461,9.38527
1.5706,0.51715,9.42358
1.58975,0.5363,9.42358
1.5706,0.5363,9.38527
1.5706,0.57461,9.40442
1.5706,0.61292,9.40442
1.5706,0.51715,9.40442
1.5706,0.5363,9.42358
1.5706,0.5363,9.42358
1.58975,0.55545,9.40442
1.5706,0.57461,9.40442
1.5706,0.55545,9.40442
1.5706,0.5363,9.40442
1.5706,0.57461,9.40442
1.5706,0.57461,9.38527
MEDIA X, MEDIA Y, MEDIA Z 
1.57516,0.54816,9.40625, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00836,0.02532,0.01197
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01016,0.02597,0.01329
ANG ENCODER,ANG APP,INC FINAL ANG

010.1250
010.1250,10.05455,0.0171



