

 X,Y,Z 
-0.18794,0.06464,9.71208
-0.19273,0.0838,9.70729
-0.17478,0.0826,9.71447
-0.19632,0.06464,9.68933
-0.18555,0.0838,9.7025
-0.18316,0.07542,9.70609
MEDIA X, MEDIA Y, MEDIA Z 
-0.18675,0.07582,9.7053, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00757,0.0092,0.00892
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00758,0.00921,0.00892
ANG ENCODER,ANG APP,INC FINAL ANG

000.0000,1.1897,0.00136



 X,Y,Z 
1.61369,0.13527,9.52892
1.62447,0.15443,9.53251
1.64242,0.11851,9.52413
1.60651,0.14605,9.51336
1.62447,0.16281,9.53611
1.61489,0.15682,9.54089
MEDIA X, MEDIA Y, MEDIA Z 
1.62107,0.14565,9.52932, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.01252,0.01637,0.00972
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01252,0.01638,0.00972
ANG ENCODER,ANG APP,INC FINAL ANG

010.1250,9.69256,0.01574



 X,Y,Z 
3.20823,0.16879,9.09078
3.20224,0.16759,9.086
3.20823,0.15443,9.09318
3.19626,0.16041,9.0836
3.20344,0.15802,9.086
3.20464,0.18435,9.08959
MEDIA X, MEDIA Y, MEDIA Z 
3.20384,0.1656,9.08819, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00446,0.01073,0.00358
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00447,0.01073,0.0036
ANG ENCODER,ANG APP,INC FINAL ANG

020.0249,19.44296,0.01134



 X,Y,Z 
4.77763,0.22505,8.33302
4.78481,0.21787,8.33062
4.77404,0.18316,8.33781
4.77883,0.20231,8.31985
4.7884,0.22745,8.33781
4.76925,0.19632,8.33062
MEDIA X, MEDIA Y, MEDIA Z 
4.77883,0.20869,8.33162, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00698,0.0176,0.00662
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00699,0.01761,0.00663
ANG ENCODER,ANG APP,INC FINAL ANG

030.1499,29.86115,0.02857



 X,Y,Z 
6.1124,0.1664,7.37893
6.10761,0.16999,7.38252
6.11359,0.16281,7.36935
6.10162,0.18316,7.38252
6.12197,0.21308,7.38731
6.1124,0.18316,7.38492
MEDIA X, MEDIA Y, MEDIA Z 
6.1116,0.17976,7.38092, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00676,0.01841,0.00632
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00677,0.01842,0.00633
ANG ENCODER,ANG APP,INC FINAL ANG

040.0499,39.63782,0.03532



 X,Y,Z 
7.34302,0.23224,6.13873
7.33703,0.20949,6.16986
7.33943,0.20351,6.15549
7.33943,0.2047,6.1531
7.34062,0.21548,6.14352
7.33105,0.21668,6.16028
MEDIA X, MEDIA Y, MEDIA Z 
7.33843,0.21368,6.1535, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00411,0.01057,0.01127
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00412,0.01057,0.01128
ANG ENCODER,ANG APP,INC FINAL ANG

050.1749,50.03108,0.05503



 X,Y,Z 
8.34858,0.38427,4.6651
8.339,0.39624,4.67109
8.33541,0.25259,4.6244
8.35696,0.39025,4.65912
8.339,0.40462,4.67109
8.34379,0.39504,4.67109
MEDIA X, MEDIA Y, MEDIA Z 
8.34379,0.3705,4.66031, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.0079,0.05816,0.01823
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00791,0.05816,0.01824
ANG ENCODER,ANG APP,INC FINAL ANG

060.0750,60.83906,0.10397



 X,Y,Z 
9.03811,0.32202,3.0981
9.04649,0.32561,3.11246
9.03213,0.34596,3.09331
9.0417,0.32561,3.11605
9.03332,0.34596,3.11246
9.03811,0.32202,3.10767
MEDIA X, MEDIA Y, MEDIA Z 
9.03831,0.3312,3.10668, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00532,0.01155,0.00904
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00533,0.01155,0.00904
ANG ENCODER,ANG APP,INC FINAL ANG

070.1999,71.04278,0.05946



 X,Y,Z 
9.45351,0.24062,1.40899
9.44872,0.24062,1.39223
9.46667,0.25379,1.40899
9.45111,0.25738,1.38624
9.46907,0.249,1.40181
9.47026,0.31125,1.4042
MEDIA X, MEDIA Y, MEDIA Z 
9.45989,0.25877,1.40041, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.0098,0.02659,0.00929
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00981,0.02659,0.00929
ANG ENCODER,ANG APP,INC FINAL ANG

080.0999,81.5824,0.08002



 X,Y,Z 
9.56124,0.29688,-0.33279
9.55287,0.33399,-0.33399
9.57681,0.3304,-0.32801
9.56244,0.30526,-0.33998
9.56484,0.33519,-0.34596
9.56723,0.32681,-0.33639
MEDIA X, MEDIA Y, MEDIA Z 
9.56424,0.32142,-0.33619, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00786,0.01625,0.00622
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00787,0.01626,0.00623
ANG ENCODER,ANG APP,INC FINAL ANG

090.0000,92.012,0.05995


