

 X,Y,Z 
-0.13168,0.11372,9.72644
-0.12689,0.10534,9.71208
-0.12929,0.0814,9.70609
-0.13168,0.10534,9.72525
-0.14724,0.10295,9.73961
-0.12809,0.09098,9.71328
MEDIA X, MEDIA Y, MEDIA Z 
-0.13248,0.09996,9.72046, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00748,0.01167,0.01228
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00749,0.01168,0.01228
ANG ENCODER,ANG APP,INC FINAL ANG

000.0000,0.97812,0.00139



 X,Y,Z 
1.70707,0.15682,9.51575
1.71305,0.1233,9.51575
1.71784,0.14006,9.51336
1.72023,0.14605,9.51336
1.71305,0.13886,9.51216
1.72023,0.14964,9.50378
MEDIA X, MEDIA Y, MEDIA Z 
1.71525,0.14246,9.51236, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00516,0.01146,0.00444
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00517,0.01146,0.00446
ANG ENCODER,ANG APP,INC FINAL ANG

010.1250,10.25604,0.00717



 X,Y,Z 
3.25013,0.18435,9.05966
3.24295,0.21907,9.07283
3.25731,0.16759,9.06804
3.25372,0.2059,9.07043
3.25372,0.2047,9.07402
3.25252,0.19992,9.06325
MEDIA X, MEDIA Y, MEDIA Z 
3.25172,0.19692,9.06804, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00489,0.01821,0.00561
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.0049,0.01822,0.00563
ANG ENCODER,ANG APP,INC FINAL ANG

020.0249,19.76077,0.01497



 X,Y,Z 
4.69862,0.2071,8.39048
4.67588,0.21668,8.39048
4.69503,0.19632,8.3821
4.68904,0.20949,8.39527
4.68306,0.2071,8.3833
4.68904,0.19872,8.37731
MEDIA X, MEDIA Y, MEDIA Z 
4.68845,0.2059,8.38649, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00818,0.00742,0.00667
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00819,0.00743,0.00668
ANG ENCODER,ANG APP,INC FINAL ANG

030.1499,29.23078,0.03073



 X,Y,Z 
6.10282,0.30287,7.40048
6.09444,0.2885,7.37773
6.09205,0.29449,7.38611
6.09683,0.26935,7.40407
6.09923,0.26097,7.40646
6.09683,0.25498,7.38851
MEDIA X, MEDIA Y, MEDIA Z 
6.09703,0.27853,7.39389, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00374,0.01946,0.01145
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00376,0.01946,0.01146
ANG ENCODER,ANG APP,INC FINAL ANG

040.0499,39.53845,0.04586



 X,Y,Z 
7.3083,0.30885,6.17943
7.31548,0.30047,6.19141
7.29154,0.28491,6.18901
7.28436,0.30406,6.19141
7.30351,0.36512,6.17824
7.30112,0.30406,6.18901
MEDIA X, MEDIA Y, MEDIA Z 
7.30072,0.31125,6.18642, 
ANG ENCODER,ANG APP,INC FINAL ANG

050.1749,49.74868,0.05824


INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.01127,0.02764,0.00598
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01128,0.02764,0.00599

 X,Y,Z 
8.21451,0.22865,4.89135
8.20373,0.24062,4.87938
8.2169,0.24421,4.87938
8.21211,0.25738,4.93445
8.21211,0.23942,4.89255
8.20972,0.23822,4.89255
MEDIA X, MEDIA Y, MEDIA Z 
8.21151,0.24142,4.89495, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00453,0.00939,0.02034
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00454,0.00939,0.02035
ANG ENCODER,ANG APP,INC FINAL ANG

060.0750,59.21139,0.1073



 X,Y,Z 
8.98544,0.2897,3.2621
8.98304,0.28611,3.25731
8.96868,0.26815,3.23935
8.98664,0.26935,3.26449
8.99621,0.2909,3.25611
8.99382,0.26097,3.2633
MEDIA X, MEDIA Y, MEDIA Z 
8.98564,0.27753,3.25711, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00974,0.01288,0.00932
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00974,0.01288,0.00932
ANG ENCODER,ANG APP,INC FINAL ANG

070.1999,70.0842,0.07594



 X,Y,Z 
9.43914,0.39504,1.50715
9.44513,0.413,1.49877
9.44153,0.45011,1.49159
9.44632,0.4118,1.49757
9.45111,0.40701,1.49757
9.43435,0.43335,1.50954
MEDIA X, MEDIA Y, MEDIA Z 
9.44293,0.41839,1.50037, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00588,0.01988,0.00672
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00589,0.01989,0.00672
ANG ENCODER,ANG APP,INC FINAL ANG

080.0999,80.98057,0.05283


 X,Y,Z 
9.56962,0.27054,-0.0419
9.578,0.28132,-0.04669
9.59117,0.35195,-0.03232
9.57441,0.34117,-0.0407
9.5816,0.32441,-0.0407
9.56962,0.30646,-0.03711
MEDIA X, MEDIA Y, MEDIA Z 
9.57741,0.31264,-0.0399, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00822,0.03252,0.00483
0.00035,0.00035,0.00035
INC FINAL X,INC FINAL Y,INC FINAL Z
0.00822,0.03253,0.00484
